DATA,RES65,PM10,so2,co,o3,no2
1997-07-28,17,132.24,34.9633,7.78,75692,218022
1997-07-29,13,145888,31.7367,8.3971,65947,241665
1997-07-30,14,121795,28.7183,7.9186,46703,261512
1997-07-31,11,103952,27.2633,6.7429,56825,162868
1997-08-01,14,147259,31.5467,8.0329,62283,244417
1997-08-02,14,148.15,25.4667,9.4543,85143,240343
1997-08-03,13,106487,18.8667,3.6814,44676,125113
1997-08-04,13,59158,17.5067,3.6333,26.1,114758
1997-08-05,8,26879,6.3267,2.0343,20.1,70467
1997-08-06,9,49602,12.9017,2.3757,48688,114278
1997-08-07,10,72233,19.8567,5.2057,46986,138953
1997-08-08,11,30158,4884,4.4971,24.7,70853
1997-08-09,10,26222,3346,1.6071,31588,63092
1997-08-10,12,32.48,8274,1.67,37992,61348
1997-08-11,12,55688,16038,3.43,78.6,192358
1997-08-12,15,91812,20834,4.6043,83182,239195
1997-08-13,18,86.09,16.6,4.0529,110302,174798
1997-08-14,13,84432,20652,3785,91383,179497
1997-08-15,18,111227,29.85,8.1867,72166,212593
1997-08-16,9,121726,32836,10.1414,73994,170458
1997-08-17,16,123306,28.0075,11.4429,74453,181198
1997-08-18,7,99497,24135,6.8429,56038,155752
1997-08-19,8,97834,22.6425,6.9486,61.26,167905
1997-08-20,16,102022,16425,7.1114,52225,152728
1997-08-21,10,95109,11.33,3.9829,31052,155172
1997-08-22,13,92098,16456,3.8857,94108,191698
1997-08-23,13,52441,7104,3.8117,27792,108383
1997-08-24,13,29449,5382,3.7467,23.68,71907
1997-08-25,16,40437,12248,2.0786,43222,95.76
1997-08-26,12,52875,13856,2.4786,69293,131.63
1997-08-27,7,77113,21498,3.68,102342,167585
1997-08-28,14,95.22,31822,4.4586,81238,164228
1997-08-29,9,107661,30.5083,4.4414,126477,219.08
1997-08-30,9,110963,21465,4.0586,143262,215895
1997-08-31,10,90646,14.6983,4.8214,112105,159.34
1997-09-01,10,108549,25395,5.3486,86703,383575
1997-09-02,13,120765,35.97,6.82,86957,399.56
1997-09-03,14,132792,39.9367,5.6371,79442,252735
1997-09-04,14,152976,28395,7.1871,73697,300632
1997-09-05,14,97191,18844,4.9233,47175,191612
1997-09-06,13,45955,9376,3.8514,45505,90858
1997-09-07,17,59144,8.1,2.6886,71523,110707
1997-09-08,8,103.65,26.36,8.3429,74543,191117
1997-09-09,13,150489,30812,9.5586,85958,188527
1997-09-10,10,50485,7.3575,5.9014,35563,118914
1997-09-11,9,34.41,10.33,1.7943,24078,72.39
1997-09-12,14,70961,18494,4.1833,60018,133568
1997-09-13,13,113717,15.4683,4.3357,60667,125287
1997-09-14,11,49659,6.39,3.7429,63622,80158
1997-09-15,10,31075,6436,2.5343,19893,84325
1997-09-16,8,49359,14002,1.8157,37497,74.68
1997-09-17,15,57112,18772,2.97,123975,180442
1997-09-18,10,50922,13112,2.4967,37078,77163
1997-09-19,10,58824,13306,2.4567,78942,120113
1997-09-20,17,49925,6.02,2.7367,36168,137544
1997-09-21,9,26588,4234,2824,39.94,78437
1997-09-22,10,31229,4078,2556,35603,74465
1997-09-23,9,51678,12.9433,2866,39.02,104.32
1997-09-24,13,65747,16068,4.2,78778,148682
1997-09-25,9,63.89,11965,3.99,59982,144078
1997-09-26,8,30816,8.8033,2.66,18468,75146
1997-09-27,13,31636,8.5733,2.4217,28925,62.04
1997-09-28,11,43714,9.7667,2.9633,64836,99775
1997-09-29,18,50599,10452,3.6467,42.1,189.3
1997-09-30,17,42955,10852,2.8333,44.7,114677
1997-10-01,13,50017,7124,4894,30.79,137082
1997-10-02,10,38517,10.64,3685,41345,91.3
1997-10-03,5,31633,13268,1.9786,28712,69593
1997-10-04,10,53426,11784,2.6257,88865,111988
1997-10-05,15,60812,11792,3.0029,65042,99533
1997-10-06,11,47041,7.2475,3.44,34524,88.19
1997-10-07,9,33326,9678,2.0686,25925,64242
1997-10-08,12,36.52,12796,2.6257,21357,69013
1997-10-09,7,64078,15.69,3.8643,98165,138105
1997-10-10,10,91945,23266,5.4971,114323,199203
1997-10-11,16,63475,10368,4.7829,64922,113353
1997-10-12,9,73376,10462,2.7786,138977,94.92
1997-10-13,11,74875,12.11,3.2214,146143,202022
1997-10-14,10,60325,9854,2.4114,93.43,111342
1997-10-15,17,74832,14832,3.7914,70105,152.23
1997-10-16,9,51412,9.7,3.5243,18598,93893
1997-10-17,13,39619,8514,2.0986,28482,59603
1997-10-18,5,33381,9518,1.6657,31996,51217
1997-10-19,13,39523,7.25,1.4371,71.61,57307
1997-10-20,2,35556,5.9125,2.8871,26.16,66313
1997-10-21,9,48199,12.08,5.2043,13805,95498
1997-10-22,8,40562,6.9625,5.2657,21765,64.8
1997-10-23,9,34541,5495,2.0857,39247,69928
1997-10-24,12,53411,13355,3.8814,56415,122685
1997-10-25,12,73364,16574,3.9043,73345,125353
1997-10-26,5,43218,5.8725,2.5129,53282,75077
1997-10-27,14,53001,8465,2.2086,66826,101.19
1997-10-28,7,69322,15222,4.6686,77314,175943
1997-10-29,13,81587,19.6,5.0629,72323,163917
1997-10-30,15,51601,6.7867,2.5729,57043,105775
1997-10-31,11,61688,7.6425,3.1586,85555,136287
1997-11-01,11,63134,7.31,3.5986,64093,99568
1997-11-02,3,42499,5754,3.2343,62247,89945
1997-11-03,9,51655,8.82,3.8443,90183,134368
1997-11-04,12,37531,10.9,2.07,26543,65298
1997-11-05,10,47737,10016,2.2971,37788,68137
1997-11-06,9,67961,12302,3.8643,58167,156458
1997-11-07,15,63308,9424,3.8257,69453,143658
1997-11-08,10,43653,6542,2815,96.83,77992
1997-11-09,13,50565,10506,2155,104495,78028
1997-11-10,12,99133,20.82,3435,130215,167342
1997-11-11,8,98228,20328,5.2917,108818,224103
1997-11-12,12,72944,12114,5.3357,81462,146037
1997-11-13,13,79685,14035,4.17,70613,117792
1997-11-14,13,48871,10.5667,4.0683,48832,88.13
1997-11-15,11,26877,7.1533,1.8517,28943,58676
1997-11-16,7,37922,5.7367,2.3433,71332,83636
1997-11-17,8,50927,7.3667,4.3083,63782,183.09
1997-11-18,9,37668,6.47,4.4867,25778,95068
1997-11-19,8,32051,9.97,2.4783,27848,66.38
1997-11-20,8,43319,12765,2605,54376,85475
1997-11-21,9,54.37,14035,3.9471,48268,111.02
1997-11-22,7,47938,8295,3.5571,68817,88157
1997-11-23,10,46672,5.8525,2.7686,60195,77.74
1997-11-24,7,40365,9915,3.8114,56587,102698
1997-11-25,16,38898,8.45,2.32,38115,72878
1997-11-26,12,42872,8.5575,2.8729,29688,67478
1997-11-27,16,45472,12395,3.6771,31098,75.42
1997-11-28,14,37075,9.71,3.3367,32322,80.65
1997-11-29,10,43873,11205,2.1383,46947,54356
1997-11-30,10,39691,8.5,1.6017,69562,57.72
1997-12-01,8,52262,10.7,4.2567,36702,93342
1997-12-02,10,40948,6925,4205,22.5,71336
1997-12-03,11,53832,15.7875,3.74,50.4,91714
1997-12-04,6,61694,10.5875,4.6043,31474,112.36
1997-12-05,5,65241,18.4975,3.9471,179746,202098
1997-12-06,5,64922,16.5625,3.2186,69088,87.69
1997-12-07,8,46218,9.7875,2.3843,45725,79782
1997-12-08,7,48568,10245,3.0114,48202,81822
1997-12-09,8,58278,13.52,2.7043,134107,141.91
1997-12-10,9,51662,16.04,2.3886,81.61,116327
1997-12-11,11,59873,14.8925,2.32,86.06,108252
1997-12-12,13,67465,14.3825,3.2071,65002,129.45
1997-12-13,12,47408,6.6525,3.8157,34165,85002
1997-12-14,13,32588,5.8,3.2986,34.67,54388
1997-12-15,6,35633,7.3367,3.3,27238,66273
1997-12-16,10,49994,11.53,3.2729,84.33,110117
1997-12-17,9,35432,9.4833,1.8714,30.14,55.46
1997-12-18,9,44781,10.8825,2.9071,46348,92.12
1997-12-19,11,45595,11.85,3.5743,39985,102803
1997-12-20,8,41559,10565,3.58,44217,72948
1997-12-21,17,37005,6.05,3.2033,52752,69305
1997-12-22,17,52238,8.2825,3.9433,45618,117145
1997-12-23,8,50731,9108,3.8229,50732,85687
1997-12-24,9,54308,7334,3.4229,153115,148.45
1997-12-25,11,40713,5.31,1.56,93538,55442
1997-12-26,14,46513,5302,2.2143,68305,84.23
1997-12-27,15,38002,5528,2.1571,49807,63.95
1997-12-28,18,32869,4.02,1.8914,43913,53817
1997-12-29,24,37888,6748,2.9,69402,101205
1997-12-30,21,52.08,6775,3.1086,62876,96364
1997-12-31,15,40815,4.7075,2.6617,128692,102865
