Time,values
09/26/1992,3351.63
09/29/1992,3397.29
09/30/1992,3524.21
10/01/1992,3584.08
10/02/1992,3717.71
10/03/1992,3704.25
10/05/1992,3720.45
10/06/1992,3562.87
10/07/1992,3592.12
10/08/1992,3688.21
10/09/1992,3622.75
10/12/1992,3602.83
10/13/1992,3602.96
10/14/1992,3633.22
10/15/1992,3729.02
10/16/1992,3707.18
10/17/1992,3749.32
10/19/1992,3734.51
10/20/1992,3724.17
10/21/1992,3694.38
10/22/1992,3699.23
10/23/1992,3662.60
10/24/1992,3670.90
10/27/1992,3647.97
10/28/1992,3670.90
10/29/1992,3640.90
10/30/1992,3631.73
11/02/1992,3559.51
11/03/1992,3559.66
11/04/1992,3506.05
11/05/1992,3593.41
11/06/1992,3532.61
11/07/1992,3535.78
11/09/1992,3530.14
11/10/1992,3534.53
11/11/1992,3570.89
11/13/1992,3555.51
11/14/1992,3573.09
11/16/1992,3588.44
11/17/1992,3583.71
11/18/1992,3660.10
11/19/1992,3682.38
11/20/1992,3724.33
11/21/1992,3711.71
11/23/1992,3698.51
11/24/1992,3687.22
11/25/1992,3673.51
11/26/1992,3676.56
11/27/1992,3681.94
11/28/1992,3686.14
11/30/1992,3675.01
12/01/1992,3646.76
12/02/1992,3635.70
12/03/1992,3614.08
12/04/1992,3651.39
12/05/1992,3727.95
12/07/1992,3755.77
12/08/1992,3761.01
12/09/1992,3776.55
12/10/1992,3746.75
12/11/1992,3734.30
12/12/1992,3742.61
12/14/1992,3696.76
12/15/1992,3688.26
12/16/1992,3674.92
12/17/1992,3668.67
12/18/1992,3657.99
12/21/1992,3576.09
12/22/1992,3579.97
12/23/1992,3448.15
12/24/1992,3456.00
12/28/1992,3327.67
12/29/1992,3377.06
